"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"08.12.2008 15:45";"20.1";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:46";"20.1";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:47";"20.1";"53";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:48";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:49";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:50";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:51";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:52";"20.0";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:53";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:54";"20.0";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:55";"20.1";"53";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:56";"20.1";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:57";"20.1";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:58";"20.1";"53";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 15:59";"20.1";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:00";"20.1";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:01";"20.1";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:02";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:03";"20.1";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:04";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:05";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:06";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:07";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:08";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:09";"20.1";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:10";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:11";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:12";"20.0";"54";"7.3";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:13";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:14";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:15";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:16";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:17";"20.0";"54";"7.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:18";"20.0";"54";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:19";"20.0";"54";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:20";"20.0";"54";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:21";"20.0";"54";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:22";"20.0";"54";"7.5";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:23";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:24";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:25";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:26";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:27";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:28";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:29";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:30";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:31";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:32";"20.0";"54";"6.6";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:33";"20.1";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:34";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:35";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:36";"20.0";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:37";"20.1";"54";"6.8";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:38";"20.0";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
"08.12.2008 16:39";"20.1";"54";"7.1";"---";"---";"---";"---";"---";"---";"---";"---";"---"
